"kandidatas","apylinkėse","paštu","viso","proc_galiojantys","proc_viso","timestamp","apylinkes"
"Andrius MAZURONIS",164,41,205,1.62,1.61,2024-05-12 20:45:00,"77"
"Andrius MAZURONIS",488,138,626,1.75,1.74,2024-05-12 21:00:00,"207"
"Andrius MAZURONIS",919,303,1222,1.73,1.72,2024-05-12 21:15:00,"373"
"Andrius MAZURONIS",1361,501,1862,1.71,1.7,2024-05-12 21:30:00,"531"
"Andrius MAZURONIS",1865,665,2530,1.69,1.67,2024-05-12 21:45:00,"669"
"Andrius MAZURONIS",2276,836,3112,1.66,1.65,2024-05-12 22:00:00,"780"
"Andrius MAZURONIS",2851,1027,3878,1.67,1.66,2024-05-12 22:15:00,"883"
"Dainius ŽALIMAS",245,103,348,2.75,2.74,2024-05-12 20:45:00,"77"
"Dainius ŽALIMAS",640,244,884,2.48,2.46,2024-05-12 21:00:00,"207"
"Dainius ŽALIMAS",1201,449,1650,2.34,2.32,2024-05-12 21:15:00,"373"
"Dainius ŽALIMAS",1809,668,2477,2.27,2.26,2024-05-12 21:30:00,"531"
"Dainius ŽALIMAS",2528,952,3480,2.32,2.3,2024-05-12 21:45:00,"669"
"Dainius ŽALIMAS",3168,1241,4409,2.35,2.34,2024-05-12 22:00:00,"780"
"Dainius ŽALIMAS",4046,1562,5608,2.42,2.4,2024-05-12 22:15:00,"883"
"Eduardas VAITKUS",523,123,646,5.11,5.08,2024-05-12 20:45:00,"77"
"Eduardas VAITKUS",1723,354,2077,5.82,5.78,2024-05-12 21:00:00,"207"
"Eduardas VAITKUS",3535,768,4303,6.1,6.05,2024-05-12 21:15:00,"373"
"Eduardas VAITKUS",5975,1304,7279,6.68,6.63,2024-05-12 21:30:00,"531"
"Eduardas VAITKUS",8478,1849,10327,6.88,6.83,2024-05-12 21:45:00,"669"
"Eduardas VAITKUS",10789,2324,13113,7,6.95,2024-05-12 22:00:00,"780"
"Eduardas VAITKUS",13802,2893,16695,7.21,7.15,2024-05-12 22:15:00,"883"
"Giedrimas JEGLINSKAS",104,86,190,1.5,1.49,2024-05-12 20:45:00,"77"
"Giedrimas JEGLINSKAS",346,158,504,1.41,1.4,2024-05-12 21:00:00,"207"
"Giedrimas JEGLINSKAS",659,289,948,1.34,1.33,2024-05-12 21:15:00,"373"
"Giedrimas JEGLINSKAS",1055,423,1478,1.36,1.35,2024-05-12 21:30:00,"531"
"Giedrimas JEGLINSKAS",1422,538,1960,1.31,1.3,2024-05-12 21:45:00,"669"
"Giedrimas JEGLINSKAS",1763,694,2457,1.31,1.3,2024-05-12 22:00:00,"780"
"Giedrimas JEGLINSKAS",2145,828,2973,1.28,1.27,2024-05-12 22:15:00,"883"
"Gitanas NAUSĖDA",4748,1646,6394,50.56,50.28,2024-05-12 20:45:00,"77"
"Gitanas NAUSĖDA",13887,4847,18734,52.47,52.1,2024-05-12 21:00:00,"207"
"Gitanas NAUSĖDA",27153,9699,36852,52.24,51.85,2024-05-12 21:15:00,"373"
"Gitanas NAUSĖDA",41278,15111,56389,51.72,51.34,2024-05-12 21:30:00,"531"
"Gitanas NAUSĖDA",56466,20372,76838,51.21,50.81,2024-05-12 21:45:00,"669"
"Gitanas NAUSĖDA",70008,25332,95340,50.92,50.52,2024-05-12 22:00:00,"780"
"Gitanas NAUSĖDA",87051,30141,117192,50.58,50.18,2024-05-12 22:15:00,"883"
"Ignas VĖGĖLĖ",1216,266,1482,11.72,11.65,2024-05-12 20:45:00,"77"
"Ignas VĖGĖLĖ",3360,742,4102,11.49,11.41,2024-05-12 21:00:00,"207"
"Ignas VĖGĖLĖ",6635,1583,8218,11.65,11.56,2024-05-12 21:15:00,"373"
"Ignas VĖGĖLĖ",10222,2444,12666,11.62,11.53,2024-05-12 21:30:00,"531"
"Ignas VĖGĖLĖ",14197,3328,17525,11.68,11.59,2024-05-12 21:45:00,"669"
"Ignas VĖGĖLĖ",17783,4182,21965,11.73,11.64,2024-05-12 22:00:00,"780"
"Ignas VĖGĖLĖ",22386,5126,27512,11.87,11.78,2024-05-12 22:15:00,"883"
"Ingrida ŠIMONYTĖ",1020,622,1642,12.98,12.91,2024-05-12 20:45:00,"77"
"Ingrida ŠIMONYTĖ",2496,1266,3762,10.54,10.46,2024-05-12 21:00:00,"207"
"Ingrida ŠIMONYTĖ",4943,2388,7331,10.39,10.32,2024-05-12 21:15:00,"373"
"Ingrida ŠIMONYTĖ",7838,3681,11519,10.56,10.49,2024-05-12 21:30:00,"531"
"Ingrida ŠIMONYTĖ",11223,4990,16213,10.81,10.72,2024-05-12 21:45:00,"669"
"Ingrida ŠIMONYTĖ",14394,6549,20943,11.19,11.1,2024-05-12 22:00:00,"780"
"Ingrida ŠIMONYTĖ",18467,7998,26465,11.42,11.33,2024-05-12 22:15:00,"883"
"Remigijus ŽEMAITAITIS",1528,212,1740,13.76,13.68,2024-05-12 20:45:00,"77"
"Remigijus ŽEMAITAITIS",4344,668,5012,14.04,13.94,2024-05-12 21:00:00,"207"
"Remigijus ŽEMAITAITIS",8673,1350,10023,14.21,14.1,2024-05-12 21:15:00,"373"
"Remigijus ŽEMAITAITIS",13219,2147,15366,14.09,13.99,2024-05-12 21:30:00,"531"
"Remigijus ŽEMAITAITIS",18218,2940,21158,14.1,13.99,2024-05-12 21:45:00,"669"
"Remigijus ŽEMAITAITIS",22255,3642,25897,13.83,13.72,2024-05-12 22:00:00,"780"
"Remigijus ŽEMAITAITIS",27046,4339,31385,13.55,13.44,2024-05-12 22:15:00,"883"
