"kandidatas","apylinkėse","paštu","viso","proc_galiojantys","proc_viso","timestamp","apylinkes","proc_rinkeju"
"Gitanas NAUSĖDA",0,0,0,0,0,"2024-05-26 08:00:00",0,0
"Gitanas NAUSĖDA",137485,41056,178541,84.96,40.26,"2024-05-26 21:00:02",867,18.43
"Gitanas NAUSĖDA",220469,62780,283249,82.97,38.92,"2024-05-26 21:15:08",1102,30.24
"Gitanas NAUSĖDA",311352,85459,396811,81.61,38.41,"2024-05-26 21:30:01",1294,42.94
"Gitanas NAUSĖDA",389559,106316,495875,80.1,37.96,"2024-05-26 21:45:05",1450,54.31
"Ingrida ŠIMONYTĖ",0,0,0,0,0,"2024-05-26 08:00:00",0,0
"Ingrida ŠIMONYTĖ",23253,8357,31610,15.04,7.13,"2024-05-26 21:00:02",867,18.43
"Ingrida ŠIMONYTĖ",43122,15017,58139,17.03,7.99,"2024-05-26 21:15:08",1102,30.24
"Ingrida ŠIMONYTĖ",66197,23237,89434,18.39,8.66,"2024-05-26 21:30:01",1294,42.94
"Ingrida ŠIMONYTĖ",91212,31960,123172,19.9,9.43,"2024-05-26 21:45:05",1450,54.31
